x,species,island,individual_id,bill_length_mm,bill_depth_mm,body_mass_g,sex,bill_morphology
1,Adelie,Torgersen,N1A1,39.1,18.7,3750,male,2.0909090909090913
2,Adelie,Torgersen,N1A2,39.5,17.4,3800,female,2.270114942528736
3,Adelie,Torgersen,N2A1,40.3,18,3250,female,2.238888888888889
5,Adelie,Torgersen,N3A1,36.7,19.3,3450,female,1.9015544041450778
6,Adelie,Torgersen,N3A2,39.3,20.6,3650,male,1.907766990291262
7,Adelie,Torgersen,N4A1,38.9,17.8,3625,female,2.185393258426966
8,Adelie,Torgersen,N4A2,39.2,19.6,4675,male,2
13,Adelie,Torgersen,N7A1,41.1,17.6,3200,female,2.3352272727272725
14,Adelie,Torgersen,N7A2,38.6,21.2,3800,male,1.8207547169811322
15,Adelie,Torgersen,N8A1,34.6,21.1,4400,male,1.6398104265402844
16,Adelie,Torgersen,N8A2,36.6,17.8,3700,female,2.056179775280899
17,Adelie,Torgersen,N9A1,38.7,19,3450,female,2.0368421052631582
18,Adelie,Torgersen,N9A2,42.5,20.7,4500,male,2.0531400966183577
19,Adelie,Torgersen,N10A1,34.4,18.4,3325,female,1.8695652173913044
20,Adelie,Torgersen,N10A2,46,21.5,4200,male,2.13953488372093
21,Adelie,Biscoe,N11A1,37.8,18.3,3400,female,2.065573770491803
22,Adelie,Biscoe,N11A2,37.7,18.7,3600,male,2.016042780748663
23,Adelie,Biscoe,N12A1,35.9,19.2,3800,female,1.8697916666666667
24,Adelie,Biscoe,N12A2,38.2,18.1,3950,male,2.110497237569061
25,Adelie,Biscoe,N13A1,38.8,17.2,3800,male,2.255813953488372
26,Adelie,Biscoe,N13A2,35.3,18.9,3800,female,1.8677248677248677
27,Adelie,Biscoe,N17A1,40.6,18.6,3550,male,2.182795698924731
28,Adelie,Biscoe,N17A2,40.5,17.9,3200,female,2.2625698324022347
29,Adelie,Biscoe,N18A1,37.9,18.6,3150,female,2.0376344086021505
30,Adelie,Biscoe,N18A2,40.5,18.9,3950,male,2.1428571428571432
31,Adelie,Dream,N21A1,39.5,16.7,3250,female,2.3652694610778444
32,Adelie,Dream,N21A2,37.2,18.1,3900,male,2.0552486187845305
33,Adelie,Dream,N22A1,39.5,17.8,3300,female,2.2191011235955056
34,Adelie,Dream,N22A2,40.9,18.9,3900,male,2.164021164021164
35,Adelie,Dream,N23A1,36.4,17,3325,female,2.1411764705882352
